,countincomments,countinposts,firstday,lastday
66,165057,16411,2017-06-30 00:00:00+00:00,2017-07-31 00:00:00+00:00
67,166977,17116,2017-07-31 00:00:00+00:00,2017-08-31 00:00:00+00:00
68,157961,16704,2017-08-31 00:00:00+00:00,2017-09-30 00:00:00+00:00
69,165858,17467,2017-09-30 00:00:00+00:00,2017-10-31 00:00:00+00:00
70,172202,19384,2017-10-31 00:00:00+00:00,2017-11-30 00:00:00+00:00
71,166707,18569,2017-11-30 00:00:00+00:00,2017-12-31 00:00:00+00:00
72,181701,20228,2017-12-31 00:00:00+00:00,2018-01-31 00:00:00+00:00
73,173810,19194,2018-01-31 00:00:00+00:00,2018-02-28 00:00:00+00:00
74,191709,28499,2018-02-28 00:00:00+00:00,2018-03-31 00:00:00+00:00
75,188161,21855,2018-03-31 00:00:00+00:00,2018-04-30 00:00:00+00:00
76,199281,24143,2018-04-30 00:00:00+00:00,2018-05-31 00:00:00+00:00
77,198898,23664,2018-05-31 00:00:00+00:00,2018-06-30 00:00:00+00:00
78,205178,26138,2018-06-30 00:00:00+00:00,2018-07-31 00:00:00+00:00
79,208064,26850,2018-07-31 00:00:00+00:00,2018-08-31 00:00:00+00:00
80,196324,25350,2018-08-31 00:00:00+00:00,2018-09-30 00:00:00+00:00
81,207681,27726,2018-09-30 00:00:00+00:00,2018-10-31 00:00:00+00:00
82,208555,28271,2018-10-31 00:00:00+00:00,2018-11-30 00:00:00+00:00
83,217895,29305,2018-11-30 00:00:00+00:00,2018-12-31 00:00:00+00:00
84,244176,31727,2018-12-31 00:00:00+00:00,2019-01-31 00:00:00+00:00
85,226011,32893,2019-01-31 00:00:00+00:00,2019-02-28 00:00:00+00:00
86,247098,41812,2019-02-28 00:00:00+00:00,2019-03-31 00:00:00+00:00
87,237769,35733,2019-03-31 00:00:00+00:00,2019-04-30 00:00:00+00:00
88,246852,36214,2019-04-30 00:00:00+00:00,2019-05-31 00:00:00+00:00
89,240318,39501,2019-05-31 00:00:00+00:00,2019-06-30 00:00:00+00:00
90,256247,38862,2019-06-30 00:00:00+00:00,2019-07-31 00:00:00+00:00
91,263570,40020,2019-07-31 00:00:00+00:00,2019-08-31 00:00:00+00:00
