,countincomments,countinposts,firstday,lastday
66,144934,23588,2017-06-30 00:00:00+00:00,2017-07-31 00:00:00+00:00
67,153843,26406,2017-07-31 00:00:00+00:00,2017-08-31 00:00:00+00:00
68,141625,24842,2017-08-31 00:00:00+00:00,2017-09-30 00:00:00+00:00
69,150531,25867,2017-09-30 00:00:00+00:00,2017-10-31 00:00:00+00:00
70,149405,26158,2017-10-31 00:00:00+00:00,2017-11-30 00:00:00+00:00
71,151528,26216,2017-11-30 00:00:00+00:00,2017-12-31 00:00:00+00:00
72,157724,28760,2017-12-31 00:00:00+00:00,2018-01-31 00:00:00+00:00
73,156787,26804,2018-01-31 00:00:00+00:00,2018-02-28 00:00:00+00:00
74,175295,35804,2018-02-28 00:00:00+00:00,2018-03-31 00:00:00+00:00
75,166400,30912,2018-03-31 00:00:00+00:00,2018-04-30 00:00:00+00:00
76,172759,34276,2018-04-30 00:00:00+00:00,2018-05-31 00:00:00+00:00
77,175972,34238,2018-05-31 00:00:00+00:00,2018-06-30 00:00:00+00:00
78,182808,36670,2018-06-30 00:00:00+00:00,2018-07-31 00:00:00+00:00
79,184999,39411,2018-07-31 00:00:00+00:00,2018-08-31 00:00:00+00:00
80,175800,36095,2018-08-31 00:00:00+00:00,2018-09-30 00:00:00+00:00
81,192927,39097,2018-09-30 00:00:00+00:00,2018-10-31 00:00:00+00:00
82,192302,37963,2018-10-31 00:00:00+00:00,2018-11-30 00:00:00+00:00
83,184589,39197,2018-11-30 00:00:00+00:00,2018-12-31 00:00:00+00:00
84,218222,44553,2018-12-31 00:00:00+00:00,2019-01-31 00:00:00+00:00
85,196022,43677,2019-01-31 00:00:00+00:00,2019-02-28 00:00:00+00:00
86,231264,51805,2019-02-28 00:00:00+00:00,2019-03-31 00:00:00+00:00
87,220208,48312,2019-03-31 00:00:00+00:00,2019-04-30 00:00:00+00:00
88,236371,84074,2019-04-30 00:00:00+00:00,2019-05-31 00:00:00+00:00
89,223318,49148,2019-05-31 00:00:00+00:00,2019-06-30 00:00:00+00:00
90,237222,54291,2019-06-30 00:00:00+00:00,2019-07-31 00:00:00+00:00
91,253052,57756,2019-07-31 00:00:00+00:00,2019-08-31 00:00:00+00:00
92,231622,54213,2019-08-31 00:00:00+00:00,2019-09-30 00:00:00+00:00
93,237676,56615,2019-09-30 00:00:00+00:00,2019-10-31 00:00:00+00:00
94,241924,55005,2019-10-31 00:00:00+00:00,2019-11-30 00:00:00+00:00
95,250805,52793,2019-11-30 00:00:00+00:00,2019-12-31 00:00:00+00:00
96,273582,58987,2019-12-31 00:00:00+00:00,2020-01-31 00:00:00+00:00
97,274953,78745,2020-01-31 00:00:00+00:00,2020-02-29 00:00:00+00:00
98,346899,74992,2020-02-29 00:00:00+00:00,2020-03-31 00:00:00+00:00
99,311905,67778,2020-03-31 00:00:00+00:00,2020-04-30 00:00:00+00:00
100,341639,70490,2020-04-30 00:00:00+00:00,2020-05-31 00:00:00+00:00
101,349226,66513,2020-05-31 00:00:00+00:00,2020-06-30 00:00:00+00:00
102,347037,67003,2020-06-30 00:00:00+00:00,2020-07-31 00:00:00+00:00
103,330920,67457,2020-07-31 00:00:00+00:00,2020-08-31 00:00:00+00:00
104,285800,59287,2020-08-31 00:00:00+00:00,2020-09-30 00:00:00+00:00
105,301254,61243,2020-09-30 00:00:00+00:00,2020-10-31 00:00:00+00:00
106,270571,55991,2020-10-31 00:00:00+00:00,2020-11-30 00:00:00+00:00
107,276212,61444,2020-11-30 00:00:00+00:00,2020-12-31 00:00:00+00:00
108,278377,65702,2020-12-31 00:00:00+00:00,2021-01-31 00:00:00+00:00
109,213776,52143,2021-01-31 00:00:00+00:00,2021-02-28 00:00:00+00:00
